order_id,date,product_category,region,channel,quantity,unit_price,revenue,cost,profit,profit_margin,customer_id,is_returned,marketing_spend,customer_age_group
ORD-00000-0000,2022-01-01,Books & Stationery,Rajshahi,Online,6,559.32,3355.9,1677.95,1677.95,0.533,CUST-7949,1,2978.19,35-44
ORD-00000-0001,2022-01-01,Food & Beverage,Dhaka,Mobile App,11,648.3,7131.33,3922.23,3209.1,0.401,CUST-3747,0,1477.0,45-54
ORD-00000-0002,2022-01-01,Electronics,Chittagong,Store,3,15998.8,47996.4,37437.19,10559.21,0.232,CUST-6393,0,2903.77,45-54
ORD-00000-0003,2022-01-01,Clothing,Dhaka,Online,12,2769.76,33237.15,20607.03,12630.12,0.379,CUST-9226,0,924.58,35-44
ORD-00000-0004,2022-01-01,Clothing,Chittagong,Online,6,2615.05,15690.29,9727.98,5962.31,0.419,CUST-6675,0,2705.52,35-44
ORD-00000-0005,2022-01-01,Books & Stationery,Dhaka,Marketplace,9,444.1,3996.87,1998.43,1998.43,0.552,CUST-8916,0,2520.47,25-34
ORD-00001-0006,2022-01-02,Electronics,Sylhet,Store,3,16771.29,50313.86,39244.81,11069.05,0.227,CUST-4561,0,524.43,45-54
ORD-00001-0007,2022-01-02,Food & Beverage,Dhaka,Mobile App,7,662.88,4640.17,2552.09,2088.08,0.472,CUST-3731,0,2684.2,25-34
ORD-00001-0008,2022-01-02,Electronics,Sylhet,Online,10,17135.3,171352.99,133655.33,37697.66,0.204,CUST-7938,0,1397.11,18-24
ORD-00001-0009,2022-01-02,Electronics,Dhaka,Mobile App,4,16295.77,65183.08,50842.8,14340.28,0.233,CUST-8574,0,1711.56,25-34
ORD-00001-0010,2022-01-02,Beauty & Personal Care,Rajshahi,Marketplace,12,2002.78,24033.31,13939.32,10093.99,0.459,CUST-3693,0,811.63,25-34
ORD-00001-0011,2022-01-02,Books & Stationery,Dhaka,Online,9,427.47,3847.23,1923.61,1923.61,0.442,CUST-2306,0,2490.44,45-54
ORD-00001-0012,2022-01-02,Electronics,Chittagong,Mobile App,5,14817.52,74087.62,57788.34,16299.28,0.205,CUST-1663,0,1104.97,35-44
ORD-00002-0013,2022-01-03,Food & Beverage,Chittagong,Online,5,658.53,3292.66,1810.96,1481.7,0.468,CUST-6249,0,1453.79,35-44
ORD-00002-0014,2022-01-03,Food & Beverage,Dhaka,Mobile App,1,773.08,773.08,425.19,347.88,0.432,CUST-3931,0,1316.71,45-54
ORD-00002-0015,2022-01-03,Sports & Fitness,Dhaka,Store,13,4320.5,56166.44,40439.84,15726.6,0.265,CUST-7546,0,2466.6,25-34
ORD-00002-0016,2022-01-03,Electronics,Mymensingh,Marketplace,7,14683.61,102785.28,80172.52,22612.76,0.196,CUST-9155,0,785.4,35-44
ORD-00002-0017,2022-01-03,Home & Garden,Dhaka,Mobile App,9,3075.55,27679.99,19375.99,8304.0,0.278,CUST-6423,0,1763.22,45-54
ORD-00002-0018,2022-01-03,Electronics,Dhaka,Store,3,16727.42,50182.25,39142.15,11040.09,0.214,CUST-2648,0,2715.95,35-44
ORD-00002-0019,2022-01-03,Electronics,Dhaka,Online,13,16478.64,214222.28,167093.38,47128.9,0.207,CUST-3869,0,2984.48,25-34
ORD-00002-0020,2022-01-03,Electronics,Chittagong,Mobile App,8,13207.05,105656.43,82412.01,23244.41,0.243,CUST-5496,0,1719.11,35-44
ORD-00003-0021,2022-01-04,Food & Beverage,Sylhet,Marketplace,12,655.7,7868.37,4327.6,3540.77,0.511,CUST-4444,0,2293.61,55+
ORD-00003-0022,2022-01-04,Clothing,Chittagong,Store,12,2643.83,31725.95,19670.09,12055.86,0.357,CUST-1980,0,951.73,25-34
ORD-00003-0023,2022-01-04,Clothing,Chittagong,Mobile App,3,2949.74,8849.22,5486.52,3362.7,0.334,CUST-8455,0,1204.21,25-34
ORD-00003-0024,2022-01-04,Clothing,Dhaka,Mobile App,9,2954.75,26592.78,16487.52,10105.26,0.364,CUST-6596,0,1375.39,25-34
ORD-00003-0025,2022-01-04,Food & Beverage,Dhaka,Store,4,641.87,2567.47,1412.11,1155.36,0.47,CUST-7655,0,342.15,45-54
ORD-00003-0026,2022-01-04,Electronics,Rajshahi,Online,6,14959.7,89758.2,70011.4,19746.8,0.197,CUST-2148,0,2609.13,25-34
ORD-00003-0027,2022-01-04,Electronics,Dhaka,Mobile App,5,15625.31,78126.53,60938.69,17187.84,0.238,CUST-4051,0,1480.34,45-54
ORD-00003-0028,2022-01-04,Electronics,Chittagong,Mobile App,8,16721.71,133773.66,104343.45,29430.21,0.251,CUST-1635,0,314.99,25-34
ORD-00003-0029,2022-01-04,Clothing,Sylhet,Marketplace,10,2282.22,22822.18,14149.75,8672.43,0.418,CUST-8560,0,362.94,45-54
ORD-00003-0030,2022-01-04,Clothing,Dhaka,Mobile App,9,2105.61,18950.47,11749.29,7201.18,0.355,CUST-4343,0,2039.91,25-34
ORD-00003-0031,2022-01-04,Home & Garden,Dhaka,Store,3,3691.51,11074.53,7752.17,3322.36,0.256,CUST-6188,0,1071.96,55+
ORD-00003-0032,2022-01-04,Electronics,Dhaka,Mobile App,5,17152.71,85763.55,66895.57,18867.98,0.198,CUST-5452,0,1924.38,35-44
ORD-00004-0033,2022-01-05,Home & Garden,Dhaka,Store,11,3722.6,40948.56,28663.99,12284.57,0.316,CUST-3427,0,2471.37,45-54
ORD-00004-0034,2022-01-05,Food & Beverage,Khulna,Online,11,874.53,9619.88,5290.93,4328.95,0.392,CUST-6726,0,309.1,35-44
ORD-00004-0035,2022-01-05,Clothing,Rajshahi,Online,10,2433.57,24335.71,15088.14,9247.57,0.416,CUST-9808,0,2140.09,25-34
ORD-00004-0036,2022-01-05,Beauty & Personal Care,Dhaka,Online,13,1778.54,23120.97,13410.16,9710.81,0.379,CUST-3504,0,1812.59,35-44
ORD-00004-0037,2022-01-05,Electronics,Dhaka,Marketplace,7,15918.67,111430.7,86915.95,24514.76,0.244,CUST-4440,0,2271.74,25-34
ORD-00004-0038,2022-01-05,Clothing,Chittagong,Online,9,2558.63,23027.68,14277.16,8750.52,0.425,CUST-1395,0,2572.0,25-34
ORD-00004-0039,2022-01-05,Beauty & Personal Care,Rajshahi,Mobile App,10,1830.84,18308.42,10618.88,7689.54,0.414,CUST-8266,0,1750.37,25-34
ORD-00005-0040,2022-01-06,Electronics,Chittagong,Online,2,18020.3,36040.61,28111.67,7928.93,0.193,CUST-2365,0,2852.3,55+
ORD-00005-0041,2022-01-06,Sports & Fitness,Chittagong,Online,13,3517.82,45731.61,32926.76,12804.85,0.297,CUST-9905,0,511.35,25-34
ORD-00005-0042,2022-01-06,Electronics,Chittagong,Store,12,12380.05,148560.57,115877.24,32683.32,0.241,CUST-4072,0,865.02,25-34
ORD-00005-0043,2022-01-06,Food & Beverage,Dhaka,Marketplace,5,830.21,4151.07,2283.09,1867.98,0.384,CUST-7316,1,2695.2,35-44
